Yahoo Symbol,Company Name,BSE Code
ABB.NS,ABB India Ltd,500002
AEGISLOG.NS,Aegis Logistics Ltd,500003
ARE&M.NS,Amara Raja Energy & Mobility Ltd,500008
500009.BO,Ambalal Sarabhai Enterprises Ltd,500009
500012.BO,Andhra Petrochemicals Ltd,500012
500013.BO,Ansal Properties & Infrastructure Ltd,500013
500014.BO,Utique Enterprises Ltd,500014
500016.BO,Aruna Hotels Ltd,500016
500020.BO,Bombay Dyeing & Manufacturing Company Ltd,500020
ASIANHOTNR.NS,Asian Hotels (North) Ltd,500023
ATUL.NS,Atul Ltd,500027
500028.BO,ATV Projects India Ltd,500028
BAJAJELEC.NS,Bajaj Electricals Ltd,500031
BAJAJHIND.NS,Bajaj Hindusthan Sugar Ltd,500032
FORCEMOT.NS,Force Motors Ltd,500033
BAJFINANCE.NS,Bajaj Finance Ltd,500034
BALRAMCHIN.NS,Balrampur Chini Mills Ltd,500038
500039.BO,Banco Products (India) Ltd,500039
ABREL.NS,Aditya Birla Real Estate Ltd,500040
BANARISUG.NS,Bannari Amman Sugars Ltd,500041
BASF.NS,BASF India Ltd,500042
BATAINDIA.NS,Bata India Ltd,500043
BEML.NS,BEML Ltd,500048
BEL.NS,Bharat Electronics Ltd,500049
BEPL.NS,Bhansali Engineering Polymers Ltd,500052
500058.BO,Bihar Sponge Iron Ltd,500058
500059.BO,Bil Vyapar Ltd,500059
500060.BO,Birla Cable Ltd,500060
BLUESTARCO.NS,Blue Star Ltd,500067
500068.BO,Disa India Ltd,500068
500069.BO,Quest Capital Markets Ltd,500069
BPL.NS,BPL Ltd,500074
OAL.NS,Oriental Aromatics Ltd,500078
CENTEXT.NS,Century Extrusions Ltd,500083
CESC.NS,CESC Ltd,500084
500085.BO,Chambal Fertilisers & Chemicals Ltd,500085
EXIDEIND.NS,Exide Industries Ltd,500086
CIPLA.NS,Cipla Ltd,500087
DICIND.NS,DIC India Ltd,500089
CRISIL.NS,CRISIL Ltd,500092
CGPOWER.NS,CG Power and Industrial Solutions Ltd,500093
DABUR.NS,Dabur India Ltd,500096
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Ltd,500097
ARVIND.NS,Arvind Ltd,500101
BHEL.NS,Bharat Heavy Electricals Ltd,500103
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd,500104
IFCI.NS,IFCI Ltd,500106
MTNL.NS,Mahanagar Telephone Nigam Ltd,500108
MRPL.NS,Mangalore Refinery and Petrochemicals Ltd,500109
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd,500110
SBIN.NS,State Bank of India,500112
SAIL.NS,Steel Authority of India Ltd,500113
TITAN.NS,Titan Company Ltd,500114
IDBI.NS,IDBI Bank Ltd,500116
DCW.NS,DCW Ltd,500117
DHAMPURSUG.NS,Dhampur Sugar Mills Ltd,500119
DIAMINESQ.NS,Diamines & Chemicals Ltd,500120
500123.BO,Elantas Beck India Ltd,500123
DRREDDY.NS,Dr Reddys Laboratories Ltd,500124
EIDPARRY.NS,EID Parry India Ltd,500125
PGHL.NS,Procter & Gamble Health Ltd,500126
ELECTCAST.NS,Electrosteel Castings Ltd,500128
ESABINDIA.NS,Esab India Ltd,500133
EPL.NS,EPL Ltd,500135
ESTER.NS,Ester Industries Ltd,500136
500142.BO,FGP Ltd,500142
500143.BO,PH Capital Ltd,500143
FINCABLES.NS,Finolex Cables Ltd,500144
500147.BO,John Cockerill India Ltd,500147
UFLEX.NS,Uflex Ltd,500148
FOSECOIND.NS,Foseco India Ltd,500150
500151.BO,Golden Tobacco Ltd,500151
GANESHBE.NS,Ganesh Benzoplast Ltd,500153
500159.BO,Metroglobal Ltd,500159
GTL.NS,GTL Ltd,500160
GODFRYPHLP.NS,Godfrey Phillips India Ltd,500163
GODREJIND.NS,Godrej Industries Ltd,500164
KANSAINER.NS,Kansai Nerolac Paints Ltd,500165
500166.BO,Goodricke Group Ltd,500166
500168.BO,Goodyear India Ltd,500168
500170.BO,GTN Industries Ltd,500170
GHCL.NS,GHCL Ltd,500171
